Bed_number,Bath_number,Square_foot,Price,Expected Price,Price Difference,Address
2.0,1.0,900.0,2600.0,2120.001359821227,479.9986401787728,"53 Main St Unit 2, Somerville, MA 02145"
3.0,1.5,1587.0,3700.0,3312.332987601616,387.66701239838403,"26 Quincy St, Malden, MA 02148"
2.0,2.5,1389.0,3995.0,2825.934008771811,1169.065991228189,"12 Princeton St Unit 12, Medford, MA 02155"
2.0,1.0,1200.0,2600.0,2287.5088887703096,312.49111122969043,"724 Broadway Unit 2, Somerville, MA 02144"
4.0,1.0,1300.0,3600.0,3672.226586884931,-72.22658688493084,"50 Lambert St Unit 2, Medford, MA 02155"
2.0,1.0,1200.0,2900.0,2287.5088887703096,612.4911112296904,"669 Fellsway Unit 1, Medford, MA 02155"
2.0,1.0,1200.0,4000.0,2287.5088887703096,1712.4911112296904,"85 Medford St Unit PH5, Medford, MA 02155"
3.0,2.0,1300.0,3750.0,3296.38257716152,453.6174228384798,"417 Salem St Unit 3, Medford, MA 02155"
3.0,1.5,1676.0,4000.0,3362.0268878565103,637.9731121434897,"188 Gaston St Unit F, Medford, MA 02155"
1.0,1.0,600.0,1900.0,1288.052903306348,611.9470966936519,"324 Boston Ave Unit 3, Medford, MA 02155"
6.0,2.0,2200.0,4225.0,5792.227946706158,-1567.227946706158,"227 Boston Ave Unit 2, Medford, MA 02155"
3.0,1.0,2300.0,3400.0,3566.144089149408,-166.14408914940805,"42 Chipman St Unit 2, Medford, MA 02155"
2.0,2.0,1229.0,3500.0,2592.298201077774,907.7017989222259,"3920 Mystic Valley Pkwy Unit 1124, Medford, MA 02155"
3.0,1.0,1200.0,2850.0,2951.9498163361063,-101.94981633610632,"7 North St Unit 2, Medford, MA 02155"
5.0,2.0,1500.0,4500.0,4736.936118259169,-236.93611825916923,"349 Salem St Unit 349, Medford, MA 02155"
3.0,1.0,1200.0,3800.0,2951.9498163361063,848.0501836638937,"49 Fellsview Ave, Medford, MA 02155"
4.0,2.0,1600.0,4600.0,4128.331033676399,471.6689663236011,"45 Pearl St Unit 2, Medford, MA 02155"
3.0,1.0,1133.0,3450.0,2914.539801537478,535.4601984625219,"7 Greenleaf Ave, Medford, MA 02155"
1.0,1.0,800.0,2000.0,1399.7245892724027,600.2754107275973,"18 Ship Ave Unit 1, Medford, MA 02155"
5.0,5.5,2103.0,7995.0,6083.715463895177,1911.284536104823,"70-72 Stanley Ave Unit 1, Medford, MA 02155"
4.0,1.5,2235.0,3900.0,4338.59017769743,-438.5901776974297,"338 Riverside Ave Unit 2, Medford, MA 02155"
5.0,2.0,1895.0,5500.0,4957.487698042127,542.5123019578732,"22 Harris Rd, Medford, MA 02155"
2.0,1.0,900.0,2600.0,2120.001359821227,479.9986401787728,"77 Billings Ave Unit 77, Medford, MA 02155"
4.0,1.0,1494.0,4800.0,3780.5481222720036,1019.4518777279964,"10 Greenleaf Ave, Medford, MA 02155"
3.0,1.0,1134.0,3875.0,2915.098159967308,959.9018400326918,"70 Billings Ave Unit 2, Medford, MA 02155"
6.0,5.5,2215.0,6975.0,6810.692535601965,164.30746439803534,"5 Malvern Terrace Unit 5, Medford, MA 02155"
2.0,1.0,1100.0,2800.0,2231.673045787282,568.3269542127182,"9 Brookings St Unit 1, Medford, MA 02155"
2.0,2.0,1016.0,2700.0,2473.3678555239253,226.6321444760747,"65 Valley St Unit 4F, Medford, MA 02155"
3.0,1.0,1150.0,3300.0,2924.031894844593,375.9681051554071,"63 Burnside St Unit 63, Medford, MA 02155"
2.0,1.0,868.0,2400.0,2102.1338900666583,297.8661099333417,"51 Albion St Unit B, Medford, MA 02155"
5.0,2.0,2300.0,5500.0,5183.622862123388,316.3771378766123,"132 George St Unit 2, Medford, MA 02155"
3.0,1.0,1200.0,3500.0,2951.9498163361063,548.0501836638937,"565 Riverside Ave Unit 567, Medford, MA 02155"
3.0,2.5,1920.0,3800.0,3786.8632625774835,13.13673742251649,"12 Ship Ave Unit 5, Medford, MA 02155"
6.0,5.5,2215.0,6975.0,6810.692535601965,164.30746439803534,"5 Malvern Terrace, Medford, MA 02155"
2.0,2.0,1154.0,2600.0,2550.421318840503,49.57868115949714,"56 Bower St Unit 1, Medford, MA 02155"
4.0,4.5,2100.0,5300.0,5129.002543197503,170.99745680249725,"478 Fulton St Unit 478, Medford, MA 02155"
6.0,5.0,2441.0,8975.0,6792.583081822413,2182.416918177587,"10 Marion St Unit 1, Medford, MA 02155"
3.0,1.0,1200.0,3700.0,2951.9498163361063,748.0501836638937,"14 Everett St Unit 2, Medford, MA 02155"
3.0,1.0,1277.0,3300.0,2994.9434154330374,305.05658456696256,"254 Harvard St, Medford, MA 02155"
4.0,2.0,2000.0,4000.0,4351.674405608509,-351.674405608509,"74 Windsor Rd Unit 2, Medford, MA 02155"
6.0,1.5,2216.0,6600.0,5656.8632226622485,943.1367773377515,"252 Harvard St, Medford, MA 02155"
2.0,1.0,1000.0,2500.0,2175.8372028042545,324.1627971957455,"10 Wareham St Unit 2, Medford, MA 02155"
3.0,1.5,1200.0,3400.0,3096.2482752572996,303.7517247427004,"34 Metcalf St Unit 2, Medford, MA 02155"
3.0,1.0,1000.0,2800.0,2840.2781303700517,-40.27813037005171,"71 Adams St Unit 1, Medford, MA 02155"
4.0,2.0,1700.0,4900.0,4184.166876659427,715.8331233405734,"23 Bradford Ave, Medford, MA 02155"
4.0,2.0,1400.0,4000.0,4016.6593477103443,-16.659347710344264,"222 Fellsway W Unit 2, Medford, MA 02155"
4.0,2.0,1400.0,4000.0,4016.6593477103443,-16.659347710344264,"222 Fellsway W Unit 3, Medford, MA 02155"
4.0,2.0,1400.0,4000.0,4016.6593477103443,-16.659347710344264,"222 Fellsway W Unit 1, Medford, MA 02155"
4.0,1.0,1460.0,4300.0,3761.5639356577744,538.4360643422256,"28 Hancock St Unit 2, Medford, MA 02155"
5.0,2.0,1715.0,4000.0,4856.983180672678,-856.9831806726779,"203 Boston Ave Unit 2, Medford, MA 02155"
1.0,1.0,976.0,2300.0,1497.995672922531,802.004327077469,"337 Salem St Unit A, Medford, MA 02155"
4.0,1.0,1000.0,4000.0,3504.7190579358485,495.28094206415153,"55 Frederick Ave Unit 2, Medford, MA 02155"
3.0,1.0,1000.0,3200.0,2840.2781303700517,359.7218696299483,"55 Frederick Ave Unit 1, Medford, MA 02155"
2.0,1.0,1000.0,3000.0,2175.8372028042545,824.1627971957455,"12 Hancock Ct Unit 1, Medford, MA 02155"
2.0,2.0,1229.0,3000.0,2592.298201077774,407.70179892222586,"3920 Mystic Valley Pkwy Unit 806, Medford, MA 02155"
2.0,1.0,1000.0,2600.0,2175.8372028042545,424.1627971957455,"37 Almont St Unit 2, Medford, MA 02155"
3.0,2.5,2000.0,4475.0,3831.5319369639055,643.4680630360945,"54 Mystic St, Medford, MA 02155"
2.0,1.0,950.0,2500.0,2147.9192813127406,352.0807186872594,"306 Fellsway W Unit 1, Medford, MA 02155"
2.0,1.0,2200.0,2400.0,2845.8673186005835,-445.86731860058353,"91 Hillsdale Rd Unit 2, Medford, MA 02155"
2.0,2.0,1078.0,2900.0,2507.9860781734023,392.01392182659765,"30 Revere Beach Pkwy Unit 315, Medford, MA 02155"
3.0,2.0,1133.0,4200.0,3203.136719379864,996.8632806201358,"270 Harvard St, Medford, MA 02155"
2.0,1.0,1100.0,2800.0,2231.673045787282,568.3269542127182,"213 Forest St Unit 1, Medford, MA 02155"
5.0,5.5,1999.0,7995.0,6025.646187192828,1969.3538128071723,"70-72 Stanley Ave, Medford, MA 02155"
2.0,2.0,1400.0,3100.0,2687.7774925787508,412.22250742124925,"30 Revere Beach Pkwy Unit 109, Medford, MA 02155"
5.0,2.0,1999.0,4300.0,5015.556974744475,-715.5569747444752,"217 Boston Ave, Medford, MA 02155"
1.0,1.0,825.0,2900.0,1413.6835500181596,1486.3164499818404,"320 Middlesex Ave Unit C206, Medford, MA 02155"
3.0,1.0,1133.0,3000.0,2914.539801537478,85.46019846252193,"43 Orchard St, Medford, MA 02155"
1.0,1.0,550.0,2000.0,1260.1349818148342,739.8650181851658,"293 Spring Street Extension Unit 5, Medford, MA 02155"
5.0,5.5,2103.0,7995.0,6083.715463895177,1911.284536104823,"70 Stanley Ave Unit 1, Medford, MA 02155"
2.0,1.0,1050.0,2700.0,2203.7551242957684,496.2448757042316,"5 Thatcher St Unit 1, Medford, MA 02155"
3.0,2.0,1365.0,4200.0,3332.675875100488,867.3241248995118,"60 Irving St, Medford, MA 02155"
2.0,2.0,1206.0,3300.0,2579.4559571916775,720.5440428083225,"3920 Mystic Valley Pkwy Unit 515, Medford, MA 02155"
4.0,1.0,1200.0,3600.0,3616.390743901903,-16.39074390190308,"131 Yale St Unit 2, Medford, MA 02155"
1.0,1.0,745.0,2900.0,1369.0148756317376,1530.9851243682624,"100 Station Landing Unit 504, Medford, MA 02155"
3.0,1.0,1000.0,3200.0,2840.2781303700517,359.7218696299483,"131 Yale St Unit 1, Medford, MA 02155"
