,Bed_number,Bath_number,Square_foot,Price,Expected Price,Price Percentage Increase,Address,Latitude,Longitude
0,2.0,1.0,900.0,2600.0,2120.001359821227,1.226,"53 Main St , Somerville, MA 02145",42.396636400000006,-71.09935528295745
1,3.0,1.5,1587.0,3700.0,3312.332987601616,1.117,"26 Quincy St, Malden, MA 02148",42.4168933,-71.08352695404324
2,2.0,2.5,1389.0,3995.0,2825.934008771811,1.413,"12 Princeton St , Medford, MA 02155",42.40601065,-71.10902946975771
3,2.0,1.0,1200.0,2600.0,2287.5088887703096,1.136,"724 Broadway , Somerville, MA 02144",42.40001215,-71.11312548119386
4,4.0,1.0,1300.0,3600.0,3672.226586884931,0.98,"50 Lambert St , Medford, MA 02155",42.42356505,-71.09185554999999
5,2.0,1.0,1200.0,2900.0,2287.5088887703096,1.267,"669 Fellsway , Medford, MA 02155",42.40733568152504,-71.08244621651518
7,3.0,2.0,1300.0,3750.0,3296.38257716152,1.137,"417 Salem St , Medford, MA 02155",42.4223577,-71.09227442768925
9,1.0,1.0,600.0,1900.0,1288.052903306348,1.475,"324 Boston Ave , Medford, MA 02155",42.4119192,-71.1219509238638
10,6.0,2.0,2200.0,4225.0,5792.227946706158,0.729,"227 Boston Ave , Medford, MA 02155",42.414633550000005,-71.12682095
11,3.0,1.0,2300.0,3400.0,3566.144089149408,0.953,"42 Chipman St , Medford, MA 02155",42.417720599999996,-71.09073012956344
12,2.0,2.0,1229.0,3500.0,2592.298201077774,1.35,"3920 Mystic Valley Pkwy , Medford, MA 02155",42.40480368666233,-71.0854813626345
13,3.0,1.0,1200.0,2850.0,2951.9498163361063,0.965,"7 North St , Medford, MA 02155",42.41685366666667,-71.12419633333333
14,5.0,2.0,1500.0,4500.0,4736.936118259169,0.949,"349 Salem St , Medford, MA 02155",42.42152055,-71.09624532919997
15,3.0,1.0,1200.0,3800.0,2951.9498163361063,1.287,"49 Fellsview Ave, Medford, MA 02155",42.4314588,-71.1006721812395
16,4.0,2.0,1600.0,4600.0,4128.331033676399,1.114,"45 Pearl St , Medford, MA 02155",42.41124000623734,-71.1116799264908
17,3.0,1.0,1133.0,3450.0,2914.539801537478,1.183,"7 Greenleaf Ave, Medford, MA 02155",42.41233885,-71.12076424542403
18,1.0,1.0,800.0,2000.0,1399.724589272403,1.428,"18 Ship Ave , Medford, MA 02155",42.4130539,-71.0993194585239
19,5.0,5.5,2103.0,7995.0,6083.715463895177,1.314,"70-72 Stanley Ave , Medford, MA 02155",42.40985915792783,-71.11188875618355
20,4.0,1.5,2235.0,3900.0,4338.59017769743,0.898,"338 Riverside Ave , Medford, MA 02155",42.41182205,-71.09413305000001
21,5.0,2.0,1895.0,5500.0,4957.487698042127,1.109,"22 Harris Rd, Medford, MA 02155",42.4141615,-71.12770359999999
22,2.0,1.0,900.0,2600.0,2120.001359821227,1.226,"77 Billings Ave , Medford, MA 02155",42.40804745,-71.1056642581018
23,4.0,1.0,1494.0,4800.0,3780.548122272003,1.269,"10 Greenleaf Ave, Medford, MA 02155",42.41257625,-71.12045041202299
24,3.0,1.0,1134.0,3875.0,2915.098159967308,1.329,"70 Billings Ave , Medford, MA 02155",42.408269000000004,-71.1061022
25,6.0,5.5,2215.0,6975.0,6810.692535601965,1.024,"5 Malvern Terrace , Medford, MA 02155",42.41002335,-71.10747230000001
26,2.0,1.0,1100.0,2800.0,2231.673045787282,1.254,"9 Brookings St , Medford, MA 02155",42.41514905,-71.11605978978366
27,2.0,2.0,1016.0,2700.0,2473.3678555239253,1.091,"65 Valley St F, Medford, MA 02155",,
28,3.0,1.0,1150.0,3300.0,2924.031894844593,1.128,"63 Burnside St , Medford, MA 02155",42.41844495,-71.09101536811036
30,5.0,2.0,2300.0,5500.0,5183.622862123388,1.061,"132 George St , Medford, MA 02155",42.41318125,-71.11770022337171
31,3.0,1.0,1200.0,3500.0,2951.9498163361063,1.185,"565 Riverside Ave , Medford, MA 02155",42.4089231,-71.08156990400072
32,3.0,2.5,1920.0,3800.0,3786.863262577483,1.003,"12 Ship Ave , Medford, MA 02155",42.412673600000005,-71.0987418
33,6.0,5.5,2215.0,6975.0,6810.692535601965,1.024,"5 Malvern Terrace, Medford, MA 02155",42.41002335,-71.10747230000001
34,2.0,2.0,1154.0,2600.0,2550.421318840503,1.019,"56 Bower St , Medford, MA 02155",42.41926255,-71.13115355486877
35,4.0,4.5,2100.0,5300.0,5129.002543197503,1.033,"478 Fulton St , Medford, MA 02155",42.4356732,-71.09660538110892
36,6.0,5.0,2441.0,8975.0,6792.583081822413,1.321,"10 Marion St , Medford, MA 02155",42.4032797,-71.10748490979066
37,3.0,1.0,1200.0,3700.0,2951.9498163361063,1.253,"14 Everett St , Medford, MA 02155",42.420786250000006,-71.10063362595659
38,3.0,1.0,1277.0,3300.0,2994.9434154330374,1.101,"254 Harvard St, Medford, MA 02155",42.40359425,-71.11117002759764
39,4.0,2.0,2000.0,4000.0,4351.674405608509,0.919,"74 Windsor Rd , Medford, MA 02155",42.4086194,-71.112238303906
40,6.0,1.5,2216.0,6600.0,5656.8632226622485,1.166,"252 Harvard St, Medford, MA 02155",42.40371966666667,-71.11128233333334
41,2.0,1.0,1000.0,2500.0,2175.8372028042545,1.148,"10 Wareham St , Medford, MA 02155",42.404059734763564,-71.10802733572598
42,3.0,1.5,1200.0,3400.0,3096.2482752572996,1.098,"34 Metcalf St , Medford, MA 02155",42.4154578410058,-71.11434911337288
43,3.0,1.0,1000.0,2800.0,2840.2781303700517,0.985,"71 Adams St , Medford, MA 02155",42.410426599999994,-71.12662179539919
44,4.0,2.0,1700.0,4900.0,4184.166876659427,1.171,"23 Bradford Ave, Medford, MA 02155",42.40394189795918,-71.11164887755103
45,4.0,2.0,1400.0,4000.0,4016.659347710344,0.995,"222 Fellsway W , Medford, MA 02155",42.4246613,-71.09502157426886
46,4.0,2.0,1400.0,4000.0,4016.659347710344,0.995,"222 Fellsway W , Medford, MA 02155",42.4246613,-71.09502157426886
47,4.0,2.0,1400.0,4000.0,4016.659347710344,0.995,"222 Fellsway W , Medford, MA 02155",42.4246613,-71.09502157426886
48,4.0,1.0,1460.0,4300.0,3761.5639356577744,1.143,"28 Hancock St , Medford, MA 02155",42.4097084,-71.1082799
49,5.0,2.0,1715.0,4000.0,4856.983180672678,0.823,"203 Boston Ave , Medford, MA 02155",42.415137900000005,-71.12762496324635
51,4.0,1.0,1000.0,4000.0,3504.7190579358485,1.141,"55 Frederick Ave , Medford, MA 02155",42.40944575,-71.1118075503733
52,3.0,1.0,1000.0,3200.0,2840.2781303700517,1.126,"55 Frederick Ave , Medford, MA 02155",42.40944575,-71.1118075503733
53,2.0,1.0,1000.0,3000.0,2175.8372028042545,1.378,"12 Hancock Ct , Medford, MA 02155",42.4107326,-71.1071532
54,2.0,2.0,1229.0,3000.0,2592.298201077774,1.157,"3920 Mystic Valley Pkwy , Medford, MA 02155",42.40480368666233,-71.0854813626345
55,2.0,1.0,1000.0,2600.0,2175.8372028042545,1.194,"37 Almont St , Medford, MA 02155",42.4234395,-71.0959215
56,3.0,2.5,2000.0,4475.0,3831.5319369639055,1.167,"54 Mystic St, Medford, MA 02155",42.42096685,-71.12648336981123
57,2.0,1.0,950.0,2500.0,2147.9192813127406,1.163,"306 Fellsway W , Medford, MA 02155",42.4250752,-71.09802639975369
58,2.0,1.0,2200.0,2400.0,2845.8673186005835,0.843,"91 Hillsdale Rd , Medford, MA 02155",42.41162187272068,-71.12458788016501
59,2.0,2.0,1078.0,2900.0,2507.9860781734023,1.156,"30 Revere Beach Pkwy , Medford, MA 02155",42.405072000000004,-71.07939361654944
60,3.0,2.0,1133.0,4200.0,3203.136719379864,1.311,"270 Harvard St, Medford, MA 02155",42.40339325,-71.11176451821228
61,2.0,1.0,1100.0,2800.0,2231.673045787282,1.254,"213 Forest St , Medford, MA 02155",42.42650209999999,-71.10494829999999
62,5.0,5.5,1999.0,7995.0,6025.646187192828,1.326,"70-72 Stanley Ave, Medford, MA 02155",42.40985915792783,-71.11188875618355
63,2.0,2.0,1400.0,3100.0,2687.7774925787508,1.153,"30 Revere Beach Pkwy , Medford, MA 02155",42.405072000000004,-71.07939361654944
64,5.0,2.0,1999.0,4300.0,5015.556974744475,0.857,"217 Boston Ave, Medford, MA 02155",42.414829999999995,-71.12718724999999
66,3.0,1.0,1133.0,3000.0,2914.539801537478,1.029,"43 Orchard St, Medford, MA 02155",42.41398135,-71.12269475
67,1.0,1.0,550.0,2000.0,1260.1349818148342,1.587,"293 Spring Street Extension , Medford, MA 02155",42.423727549999995,-71.09107895541918
68,5.0,5.5,2103.0,7995.0,6083.715463895177,1.314,"70 Stanley Ave , Medford, MA 02155",42.4097576,-71.11255370177545
69,2.0,1.0,1050.0,2700.0,2203.7551242957684,1.225,"5 Thatcher St , Medford, MA 02155",42.4150939,-71.10032759999999
70,3.0,2.0,1365.0,4200.0,3332.675875100488,1.26,"60 Irving St, Medford, MA 02155",42.42287385,-71.12984071283515
71,2.0,2.0,1206.0,3300.0,2579.4559571916775,1.279,"3920 Mystic Valley Pkwy , Medford, MA 02155",42.40480368666233,-71.0854813626345
72,4.0,1.0,1200.0,3600.0,3616.390743901903,0.995,"131 Yale St , Medford, MA 02155",42.40413125,-71.11310470423018
73,1.0,1.0,745.0,2900.0,1369.0148756317376,2.118,"100 Station Landing , Medford, MA 02155",42.401518100000004,-71.08080060994453
74,3.0,1.0,1000.0,3200.0,2840.2781303700517,1.126,"131 Yale St , Medford, MA 02155",42.40413125,-71.11310470423018
75,2.0,2.0,1097.0,3200.0,2518.594888340178,1.27,"100 High St , Medford, MA 02155",42.419033049999996,-71.11350637735252
76,4.0,3.0,2562.0,5600.0,4954.06876101551,1.13,"1 Via Marino, Medford, MA 02155",42.430476,-71.10879945364434
